pt,a,b,c,d,ROR,ROR_lower,ROR_upper,PRR,IC025,group
neuropathy peripheral,6,4,2121,6092,4.308345120226309,1.2145998281694492,15.282266014274688,4.29901269393512,-0.337148318529368,peripheral_neuropathy
nerve injury,9,9,2118,6087,2.8739376770538247,1.1392932580258088,7.249685463689831,2.8660084626234137,-0.24734464660072253,peripheral_neuropathy
peripheral motor neuropathy,0,1,2127,6095,1.432769158439116,0.04804729895131755,42.725137649346266,1.4326674500587544,-5.219211307823773,peripheral_neuropathy
brachial plexopathy,2,10,2125,6086,0.5728000000000001,0.1254019398376866,2.6163856829062975,0.5732016925246827,-2.486952091034304,peripheral_neuropathy
neuralgia,2,14,2125,6082,0.408873949579832,0.09284794689703764,1.8005557713667104,0.4094297803747733,-2.811082052111657,peripheral_neuropathy
peroneal nerve injury,1,0,2126,6096,5.734713076199435,0.19231112121062366,171.00900800382854,5.732487070992008,-2.281826974348423,peroneal_specific
peroneal nerve palsy,25,16,2102,6080,4.519505233111323,2.4083448121827997,8.481313576359366,4.478138222849084,0.48716545584555426,peroneal_specific
hypoaesthesia,130,87,1997,6009,4.4962270992695945,3.4112139763528546,5.92635298411287,4.282541380931537,0.8899624802910096,prolonged_block
paraesthesia,36,31,2091,6065,3.368352848613875,2.0784347593055057,5.458819846025058,3.3282678920788027,0.4518588954145174,prolonged_block
hypoaesthesia oral,14,12,2113,6084,3.359204921911973,1.5512447454484795,7.274324532287291,3.3436765397273156,0.0808041463365563,prolonged_block
motor dysfunction,13,17,2114,6079,2.198981579386722,1.0662650617609872,4.535007438484415,2.1916535302414335,-0.21605705337372882,prolonged_block
paresis,3,4,2124,6092,2.151129943502825,0.48104426974576453,9.6194057904069,2.14950634696756,-1.2316442522368196,prolonged_block
sensory loss,15,23,2112,6073,1.875308794466403,0.976681322329548,3.6007477507759846,1.8691359538848349,-0.26557468343282387,prolonged_block
neuromuscular block prolonged,1,2,2126,6094,1.4332079021636879,0.12988675155461196,15.814429618410948,1.4330042313117066,-2.5263470482622683,prolonged_block
muscular weakness,19,52,2108,6044,1.0476207852868196,0.6180212551535182,1.775843954577821,1.0471953998047088,-0.6752405260992023,prolonged_block
anaesthesia,0,2,2127,6094,0.7162670427832628,0.03228581188405114,15.890524246996431,0.7163337250293772,-5.405509547193182,prolonged_block
hemiparesis,0,6,2127,6090,0.23859896567936062,0.013320710255696356,4.273756078352944,0.23877790834312573,-6.187026955961697,prolonged_block
