pt,a,b,c,d,ROR,ROR_lower,ROR_upper,PRR,IC025,group
neuropathy peripheral,6,4,2121,1123,0.7942008486562943,0.2236530109518609,2.820239196968119,0.7947813822284908,-1.5244020498682034,peripheral_neuropathy
nerve injury,9,7,2118,1120,0.6798866855524079,0.2525295139756323,1.830462894867976,0.6812411847672779,-1.3561151248765047,peripheral_neuropathy
brachial plexopathy,2,2,2125,1125,0.5294117647058824,0.07447285355546822,3.7634762632029823,0.5298542548189938,-2.5468280764157902,peripheral_neuropathy
neuralgia,2,3,2125,1124,0.35262745098039217,0.05883432230697533,2.1134962435045597,0.35323616987932926,-2.7480141986418127,peripheral_neuropathy
peripheral nerve injury,0,8,2127,1119,0.03288081805359661,0.0018866566984092076,0.5730497746544607,0.03310810810810811,-7.632791206711177,peripheral_neuropathy
peroneal nerve palsy,25,9,2102,1118,1.4774289036896076,0.6872520313619946,3.1761218095370563,1.4718173744972054,-0.5697513822190226,peroneal_specific
peroneal nerve injury,1,0,2126,1127,1.0602069614299152,0.03553903748956571,31.628284851396796,1.0601786553831687,-2.8858251246587168,peroneal_specific
hypoaesthesia,130,59,1997,1068,1.1783777360956689,0.8586629579327059,1.6171351938472436,1.1674754767198172,-0.24276529725859866,prolonged_block
sensory loss,15,8,2112,1119,0.9934303977272727,0.41990394907853656,2.35030882013444,0.9934767277856136,-0.9264766957510534,prolonged_block
paraesthesia,36,22,2091,1105,0.8647450110864745,0.506256830089982,1.4770841394199776,0.8670342351583536,-0.667071534787295,prolonged_block
hypoaesthesia oral,14,10,2113,1117,0.7400851869380028,0.3276727719250447,1.671564227650722,0.7417959567465915,-1.093827813945199,prolonged_block
muscular weakness,19,22,2108,1105,0.45271260997067453,0.24398574124288375,0.8400028058296941,0.45760140188913107,-1.2594383359815453,prolonged_block
motor dysfunction,13,21,2114,1106,0.32387259539577423,0.16155441329100598,0.6492763392322286,0.3280050148879486,-1.6570556134165346,prolonged_block
anaesthesia,0,1,2127,1126,0.2646920545369064,0.008872699553095453,7.896343532845749,0.2648648648648649,-5.823409195345452,prolonged_block
paresis,3,6,2124,1121,0.2638888888888889,0.06587185681227185,1.0571638488569064,0.264927127409497,-2.63393718894325,prolonged_block
neuromuscular block prolonged,1,5,2126,1122,0.10555032925682031,0.012315980895273283,0.9045866586638587,0.10597085096379877,-4.120388430830693,prolonged_block
hemiparesis,0,5,2127,1122,0.05275035260930888,0.002879225352012216,0.9664403998324536,0.05297297297297297,-7.090239382870063,prolonged_block
