pt,a,b,c,d,ROR,ROR_lower,ROR_upper,PRR,PRR_chi2,IC,IC025,signal
Inappropriate schedule of product administration,50,1,2077,6095,146.72604718343766,20.2557350458535,1062.8364200727165,143.30042313117067,135.6397298017813,1.8829606464887,1.322218308551912,True
Transfusion,23,0,2104,6096,133.27756653992395,8.086291089013818,2196.6695914443253,131.8472026328162,60.017666860758446,1.836884717546006,1.0157600123371338,True
Therapeutic product effect variable,21,0,2106,6096,121.57264957264957,7.355230793273147,2009.4419250081824,120.38222849083216,54.276216150633324,1.8267200126060443,0.9687085508398549,True
Labelled drug-drug interaction medication error,234,7,1893,6089,107.52592257188135,50.610323135391546,228.44793924757823,95.80656860769696,653.0754495878601,1.8998742143297944,1.6390149172050434,True
Prescribed overdose,34,1,2093,6095,99.01098901098902,13.54471351220205,723.7639936867461,97.44428772919605,89.42815392519262,1.8525305374103087,1.1758940517323138,True
Product preparation issue,12,0,2115,6096,69.17446808510638,4.084433940778917,1171.5471725672867,68.78984485190409,28.55617405895052,1.7434772340902867,0.6229571590315783,True
Arthrofibrosis,10,0,2117,6096,57.5909305621162,3.3622988103476596,986.4427494674517,57.32487070992007,22.888974610300455,1.707133263314433,0.48679110084804433,True
Extra dose administered,63,4,2064,6092,46.486918604651166,16.89988009925254,127.87271795206647,45.139633286318755,160.10919393820473,1.8324064953936132,1.3372140456748653,True
Endotracheal intubation,8,0,2119,6096,46.02925908447381,2.6423887123993612,801.8096209402072,45.85989656793606,17.261970322581043,1.6552963610552547,0.30254237491531444,True
Product administered to patient of inappropriate age,46,3,2081,6093,44.894762133589616,13.948018079775132,144.50366034111752,43.945463093559006,115.3635261054384,1.8194746961660486,1.2412662449885548,True
Ileus paralytic,15,1,2112,6095,43.28835227272727,5.714457861391933,327.91937362038584,42.9901269393512,35.05967673546046,1.7404958147617111,0.739850054421729,True
Postoperative ileus,15,1,2112,6095,43.28835227272727,5.714457861391933,327.91937362038584,42.9901269393512,35.05967673546046,1.7404958147617111,0.739850054421729,True
Hospitalisation,120,9,2007,6087,40.4384653712008,20.50184605273843,79.76206032233783,38.21344616831218,304.6892325117935,1.8310491393405801,1.4719667536508432,True
Osteoarthritis,14,1,2113,6095,40.38334122101278,5.306971293053034,307.2966025475827,40.12411847672779,32.23313855603085,1.7270597388298168,0.6935548413932309,True
Cardiac failure congestive,7,0,2120,6096,40.25660377358491,2.283483822504712,709.7024867931008,40.127409496944054,14.472889982179629,1.6200878207912723,0.18258301859627446,True
Chest tube insertion,6,0,2121,6096,34.489391796322494,1.925502218286317,617.7703329466423,34.394922425952046,11.709679484971906,1.5753054482284818,0.03478017624858354,True
Manipulation,6,0,2121,6096,34.489391796322494,1.925502218286317,617.7703329466423,34.394922425952046,11.709679484971906,1.5753054482284818,0.03478017624858354,True
Pulmonary air leakage,9,1,2118,6095,25.89943342776204,3.279228824463611,204.55439000625364,25.794076163610722,18.25762065410643,1.621886915117265,0.3553929832389189,True
Urinary retention postoperative,9,1,2118,6095,25.89943342776204,3.279228824463611,204.55439000625364,25.794076163610722,18.25762065410643,1.621886915117265,0.3553929832389189,True
Ileus,16,2,2111,6094,23.094268119374707,5.305538585207577,100.52612216535225,22.928067700987306,34.143587837457034,1.6781516556414493,0.7202166819754172,True
Wound infection,8,1,2119,6095,23.01085417649835,2.876241902972243,184.09418532735336,22.928067700987306,15.516765182903503,1.5876896547478132,0.25233045927278575,True
Surgery,14,2,2113,6094,20.188357785139612,4.584400324416224,88.90362124139034,20.062059238363894,28.61885895882474,1.6442804995024078,0.6260131974488914,True
Postoperative wound complication,7,1,2120,6095,20.125,2.474533655534731,163.67351646000483,20.062059238363894,12.809202018825196,1.5455052651720007,0.12859760164100442,True
Procedural pain,70,13,2057,6083,15.923488276429453,8.791211351883135,28.842154822642556,15.432353260279916,146.42528405756337,1.682142771542621,1.2238689458821477,True
Post procedural complication,25,5,2102,6091,14.488582302568982,5.5393750642633055,37.895794146994234,14.330042313117067,48.89091318176059,1.6262937557902541,0.8669790768980696,True
Pneumonia,20,4,2107,6092,14.456573327005222,4.9355826181024645,42.34404092285826,14.330042313117065,38.50259589632234,1.6116793591891583,0.7647799549390818,True
Post procedural haematoma,9,2,2118,6094,12.947592067988671,2.7952175907699606,59.97391434305679,12.897038081805361,15.179382421560893,1.5057867737833588,0.26571049341958464,True
No adverse event,193,47,1934,6049,12.843593918458051,9.299386996668222,17.738578338696268,11.768928367794016,380.7084825101706,1.6285707683598982,1.353962021900711,True
Postoperative wound infection,28,7,2099,6089,11.603620771796091,5.061088692398531,26.60376515785733,11.464033850493653,50.91802512556386,1.5768960947968813,0.8651173918148768,True
Procedural vomiting,11,3,2116,6093,10.55812854442344,2.9426604015832223,37.88207375223906,10.508697696285848,17.655177976508735,1.4804603383562744,0.363517647327098,True
Mobility decreased,14,4,2113,6092,10.090866067203029,3.3178396366584044,30.690325373526548,10.031029619181947,22.710580727473527,1.491738531410568,0.499528952182687,True
Adverse event,10,3,2117,6093,9.593764761454889,2.6377762132323763,34.893150463793816,9.553361542078044,15.134041341377275,1.4427296864976122,0.2788458408693206,True
Post procedural haemorrhage,10,3,2117,6093,9.593764761454889,2.6377762132323763,34.893150463793816,9.553361542078044,15.134041341377275,1.4427296864976122,0.2788458408693206,True
Therapeutic product effect prolonged,16,5,2111,6091,9.233159639981052,3.378327460964199,25.234746460322032,9.171227080394923,25.236510370351553,1.4758854592200858,0.5499633349281656,True
Urinary tract infection,16,5,2111,6091,9.233159639981052,3.378327460964199,25.234746460322032,9.171227080394923,25.236510370351553,1.4758854592200858,0.5499633349281656,True
Therapeutic response shortened,41,13,2086,6083,9.19695405265875,4.91863080329494,17.196648260335845,9.038949766735382,68.43199223977976,1.520256310693977,0.9369700959576401,True
Deep vein thrombosis,15,5,2112,6091,8.651988636363637,3.1406825212781633,23.834598644278447,8.59802538787024,22.736952283100823,1.4500095751450424,0.4977820941829225,True
Atrial fibrillation,20,8,2107,6088,7.223540579022306,3.1769547647657186,16.424388246091333,7.165021156558533,28.078072263878365,1.4047316228689735,0.5853209338741944,True
Acute kidney injury,12,5,2115,6091,6.911773049645391,2.432122722665877,19.64235038166177,6.878420310296192,15.507611071451601,1.351869538822975,0.30429775818869964,True
Infection,31,14,2096,6082,6.4252317339149405,3.411510865106538,12.101266701731097,6.3461615958089865,41.44825124658481,1.3755938124391982,0.7195392070972122,True
Pulmonary embolism,15,7,2112,6089,6.177962662337662,2.515466703176282,15.173018433932942,6.1414467056216,18.445024538875103,1.3241115060783357,0.3902661783977138,True
Urinary retention,48,25,2079,6071,5.6066955266955265,3.4486405531495445,9.115196044528016,5.502736248236953,59.02834259557971,1.3232282493918133,0.7993109289658057,True
Drug effect less than expected,13,7,2114,6089,5.349168806595486,2.131333469777853,13.425213523455124,5.322587144872053,14.031147675196257,1.2507007669216355,0.25915628029906657,True
Product administration error,27,15,2100,6081,5.212285714285715,2.767354841589047,9.817289044055808,5.1588152327221435,30.512556927861354,1.2749712568957454,0.5823432103014827,True
Atelectasis,9,5,2118,6091,5.176487252124646,1.7328604579258127,15.463461093389528,5.158815232722144,8.88111049197311,1.2048258957428468,0.024174829657811925,True
Ventricular arrhythmia,10,6,2117,6090,4.794520547945206,1.7404204588327608,13.20797349169617,4.776680771039022,9.386953566583976,1.178616927153596,0.0619530394647847,True
Peroneal nerve palsy,25,16,2102,6080,4.519505233111323,2.4083448121827997,8.481313576359366,4.478138222849084,24.67949919870774,1.1992549139571134,0.48716545584555426,True
