pt,a,b,c,d,ROR,ROR_lower,ROR_upper,PRR,PRR_chi2,IC,IC025,signal
Labelled drug-drug interaction medication error,234,0,1893,1127,278.6244057052298,17.358226542192394,4472.320905934402,248.08180535966147,130.6806785833671,0.6089168207026541,0.3549250028741954,True
Hospitalisation,120,0,2007,1127,134.76831091180867,8.372661490719288,2169.2621451559035,127.22143864598026,63.19196117950623,0.6044852820179861,0.2455618792667672,True
No adverse event,193,1,1934,1126,112.36711478800413,15.726184660092702,802.8882248738696,102.26187118006581,104.48252934542464,0.6039938808656318,0.32324442858346114,True
Urinary retention,48,0,2079,1127,52.04040404040404,3.2053437574093913,844.902717977841,50.888575458392104,23.08422830056095,0.5910362631016878,0.02144784857718751,True
Product administered to patient of inappropriate age,46,0,2081,1127,49.82412301777991,3.0669216739163105,809.425051706947,48.76821814762577,21.998264146928932,0.5900729787743167,0.008295027835393709,True
Extra dose administered,63,1,2064,1126,34.36918604651162,4.760401214075002,248.13894803807153,33.38081805359661,30.0677765863417,0.5849380637356483,0.0886795518270535,True
Off label use,244,15,1883,1112,9.606231191361305,5.673326936512441,16.265531448221072,8.618962545055634,102.02475378486193,0.5260220283742193,0.28126950023644226,True
Pain,130,26,1997,1101,2.7566349524286435,1.7977862528696376,4.226885286736195,2.6492712740949695,22.539897837931726,0.3488412017836083,0.01906763844364423,True
Transfusion,23,0,2104,1127,24.63973384030418,1.4942148249842473,406.3113774335839,24.384109073812883,9.654572893986652,0.567397122094049,-0.2510123708441532,False
Therapeutic product effect variable,21,0,2106,1127,22.475783475783473,1.3591274763285421,371.68025196202353,22.263751763046546,8.598970303648438,0.5631720349022183,-0.29224130679240423,False
Therapeutic response shortened,41,1,2086,1126,22.1313518696069,3.0401691405642928,161.10838342548283,21.72402444757875,18.135022010373003,0.5700774725636049,-0.04408427115398672,False
Procedural nausea,18,0,2109,1127,19.2375533428165,1.157012083184409,319.86136013302576,19.08321579689704,7.025141058140067,0.5551556209417926,-0.3664872873066489,False
Prescribed overdose,34,1,2093,1126,18.291447682752032,2.5005234549882815,133.80280743354294,18.015044663845792,14.394119853402556,0.5614450776278689,-0.11189309584948126,False
Ileus,16,0,2111,1127,17.083846518237802,1.0226211500982356,285.4016972274327,16.9628584861307,5.984305636970891,0.5482278390200338,-0.4271303603876181,False
Urinary tract infection,16,0,2111,1127,17.083846518237802,1.0226211500982356,285.4016972274327,16.9628584861307,5.984305636970891,0.5482278390200338,-0.4271303603876181,False
Deep vein thrombosis,15,0,2112,1127,16.008522727272727,0.9555351043386411,268.19820511668456,15.902679830747532,5.46718373367479,0.5441093123997294,-0.4618648263164531,False
Ileus paralytic,15,0,2112,1127,16.008522727272727,0.9555351043386411,268.19820511668456,15.902679830747532,5.46718373367479,0.5441093123997294,-0.4618648263164531,False
Postoperative ileus,15,0,2112,1127,16.008522727272727,0.9555351043386411,268.19820511668456,15.902679830747532,5.46718373367479,0.5441093123997294,-0.4618648263164531,False
Postoperative wound infection,28,1,2099,1126,15.020485945688423,2.040935955045517,110.54486912578885,14.835919134931828,11.218905859902172,0.5507427747264727,-0.18951831102128058,False
Surgery,14,0,2113,1127,14.934216753431139,0.8885244560709822,251.0125956742893,14.842501175364363,4.952773641593288,0.5394369704501687,-0.5002149462989074,False
Drug effect less than expected,13,0,2114,1127,13.860927152317881,0.821591761536739,233.84521427345388,13.782322519981195,4.441604375439083,0.5340910242003675,-0.5428482578700783,False
Inappropriate schedule of product administration,50,2,2077,1125,13.541165142031776,3.288715656734086,55.75524689351473,13.246356370474848,20.765905375662125,0.5500983175147907,-0.003997374942052101,False
Product preparation issue,12,0,2115,1127,12.788652482269503,0.7547404293521771,216.6965302927245,12.722143864598026,3.9343743327190546,0.5279144426386974,-0.5906174322922683,False
Procedural vomiting,11,0,2116,1127,11.717391304347826,0.6879750935615534,199.56719402215109,11.661965209214856,3.4320249382630124,0.5206972545381509,-0.6446316549248977,False
Wound dehiscence,11,0,2116,1127,11.717391304347826,0.6879750935615534,199.56719402215109,11.661965209214856,3.4320249382630124,0.5206972545381509,-0.6446316549248977,False
Arthrofibrosis,10,0,2117,1127,10.64714218233349,0.6213022014464157,182.45812808471436,10.601786553831687,2.935856371340635,0.5121521752124502,-0.706364673304693,False
Heart rate decreased,10,0,2117,1127,10.64714218233349,0.6213022014464157,182.45812808471436,10.601786553831687,2.935856371340635,0.5121521752124502,-0.706364673304693,False
Impaired healing,9,0,2118,1127,9.577903682719548,0.5547309756197986,165.3706805410607,9.54160789844852,2.447716383589457,0.5018753947687009,-0.7778240035244119,False
Pleural effusion,9,0,2118,1127,9.577903682719548,0.5547309756197986,165.3706805410607,9.54160789844852,2.447716383589457,0.5018753947687009,-0.7778240035244119,False
Post procedural haematoma,9,0,2118,1127,9.577903682719548,0.5547309756197986,165.3706805410607,9.54160789844852,2.447716383589457,0.5018753947687009,-0.7778240035244119,False
Pulmonary air leakage,9,0,2118,1127,9.577903682719548,0.5547309756197986,165.3706805410607,9.54160789844852,2.447716383589457,0.5018753947687009,-0.7778240035244119,False
Urinary retention postoperative,9,0,2118,1127,9.577903682719548,0.5547309756197986,165.3706805410607,9.54160789844852,2.447716383589457,0.5018753947687009,-0.7778240035244119,False
Arthritis infective,8,0,2119,1127,8.50967437470505,0.4882750614303573,148.30689437912295,8.48142924306535,1.9703224001865756,0.48928079113341283,-0.8618267781017336,False
Burning sensation,8,0,2119,1127,8.50967437470505,0.4882750614303573,148.30689437912295,8.48142924306535,1.9703224001865756,0.48928079113341283,-0.8618267781017336,False
Constipation,8,0,2119,1127,8.50967437470505,0.4882750614303573,148.30689437912295,8.48142924306535,1.9703224001865756,0.48928079113341283,-0.8618267781017336,False
Wound infection,8,0,2119,1127,8.50967437470505,0.4882750614303573,148.30689437912295,8.48142924306535,1.9703224001865756,0.48928079113341283,-0.8618267781017336,False
Infection,31,2,2096,1125,8.319417938931297,1.9873867945232697,34.82599111222056,8.212740949694405,10.781846179843606,0.513220602480321,-0.18599584072507946,False
Swelling,15,1,2112,1126,7.99715909090909,1.0549733437445679,60.62196159223022,7.947813822284909,4.531550989779981,0.5002162210700336,-0.4982021780981345,False
Mobility decreased,14,1,2113,1126,7.460482725982016,0.9797467985116561,56.8093742069154,7.417959567465914,4.03944659490487,0.49272861670138046,-0.5386198865391851,False
Injection site erythema,7,0,2120,1127,7.442452830188679,0.42195550582523833,131.27001156497403,7.421250587682182,1.507841301958162,0.4734838607536078,-0.9624717001746155,False
Peripheral swelling,7,0,2120,1127,7.442452830188679,0.42195550582523833,131.27001156497403,7.421250587682182,1.507841301958162,0.4734838607536078,-0.9624717001746155,False
Insomnia,13,1,2114,1126,6.924314096499527,0.9046256107709518,53.001070427489665,6.88810531264692,3.5535873773974194,0.4841793889484941,-0.5835766827217653,False
Cardiac disorder,6,0,2121,1127,6.376237623762377,0.35580651830995363,114.26549021023239,6.361071932299013,1.067004390975227,0.453083931822243,-1.0859958030309411,False
Chest tube insertion,6,0,2121,1127,6.376237623762377,0.35580651830995363,114.26549021023239,6.361071932299013,1.067004390975227,0.453083931822243,-1.0859958030309411,False
Emergency care,6,0,2121,1127,6.376237623762377,0.35580651830995363,114.26549021023239,6.361071932299013,1.067004390975227,0.453083931822243,-1.0859958030309411,False
Femoral nerve palsy,6,0,2121,1127,6.376237623762377,0.35580651830995363,114.26549021023239,6.361071932299013,1.067004390975227,0.453083931822243,-1.0859958030309411,False
Manipulation,6,0,2121,1127,6.376237623762377,0.35580651830995363,114.26549021023239,6.361071932299013,1.067004390975227,0.453083931822243,-1.0859958030309411,False
Seroma,6,0,2121,1127,6.376237623762377,0.35580651830995363,114.26549021023239,6.361071932299013,1.067004390975227,0.453083931822243,-1.0859958030309411,False
Wound secretion,6,0,2121,1127,6.376237623762377,0.35580651830995363,114.26549021023239,6.361071932299013,1.067004390975227,0.453083931822243,-1.0859958030309411,False
Delirium,10,1,2117,1126,5.318847425602267,0.6799884070374677,41.60385330698302,5.298542548189938,2.1496118705127283,0.44929116114393586,-0.7561872819613682,False
Post procedural haemorrhage,10,1,2117,1126,5.318847425602267,0.6799884070374677,41.60385330698302,5.298542548189938,2.1496118705127283,0.44929116114393586,-0.7561872819613682,False
Pyrexia,10,1,2117,1126,5.318847425602267,0.6799884070374677,41.60385330698302,5.298542548189938,2.1496118705127283,0.44929116114393586,-0.7561872819613682,False
Ventricular arrhythmia,10,1,2117,1126,5.318847425602267,0.6799884070374677,41.60385330698302,5.298542548189938,2.1496118705127283,0.44929116114393586,-0.7561872819613682,False
Arrhythmia supraventricular,5,0,2122,1127,5.311027332704994,0.28988760329194996,97.30326860625301,5.300893276915843,0.6594386822544777,0.42572270492993336,-1.2424501556633598,False
Atrioventricular block,5,0,2122,1127,5.311027332704994,0.28988760329194996,97.30326860625301,5.300893276915843,0.6594386822544777,0.42572270492993336,-1.2424501556633598,False
Breakthrough pain,5,0,2122,1127,5.311027332704994,0.28988760329194996,97.30326860625301,5.300893276915843,0.6594386822544777,0.42572270492993336,-1.2424501556633598,False
Cardiac failure,5,0,2122,1127,5.311027332704994,0.28988760329194996,97.30326860625301,5.300893276915843,0.6594386822544777,0.42572270492993336,-1.2424501556633598,False
Cerebrovascular accident,5,0,2122,1127,5.311027332704994,0.28988760329194996,97.30326860625301,5.300893276915843,0.6594386822544777,0.42572270492993336,-1.2424501556633598,False
Exposure via breast milk,5,0,2122,1127,5.311027332704994,0.28988760329194996,97.30326860625301,5.300893276915843,0.6594386822544777,0.42572270492993336,-1.2424501556633598,False
Hypotonia,5,0,2122,1127,5.311027332704994,0.28988760329194996,97.30326860625301,5.300893276915843,0.6594386822544777,0.42572270492993336,-1.2424501556633598,False
Injection site reaction,5,0,2122,1127,5.311027332704994,0.28988760329194996,97.30326860625301,5.300893276915843,0.6594386822544777,0.42572270492993336,-1.2424501556633598,False
Joint swelling,5,0,2122,1127,5.311027332704994,0.28988760329194996,97.30326860625301,5.300893276915843,0.6594386822544777,0.42572270492993336,-1.2424501556633598,False
Peripheral ischaemia,5,0,2122,1127,5.311027332704994,0.28988760329194996,97.30326860625301,5.300893276915843,0.6594386822544777,0.42572270492993336,-1.2424501556633598,False
Procedural haemorrhage,5,0,2122,1127,5.311027332704994,0.28988760329194996,97.30326860625301,5.300893276915843,0.6594386822544777,0.42572270492993336,-1.2424501556633598,False
Surgical procedure repeated,5,0,2122,1127,5.311027332704994,0.28988760329194996,97.30326860625301,5.300893276915843,0.6594386822544777,0.42572270492993336,-1.2424501556633598,False
Therapeutic response prolonged,5,0,2122,1127,5.311027332704994,0.28988760329194996,97.30326860625301,5.300893276915843,0.6594386822544777,0.42572270492993336,-1.2424501556633598,False
Accidental exposure to product,19,2,2108,1125,5.069971537001898,1.1787928756039872,21.80587609408389,5.033615420780442,4.823429187511006,0.4548631519354253,-0.42736490763967533,False
Pneumothorax,9,1,2118,1126,4.784702549575071,0.6054024781598689,37.81513838115596,4.768688293370945,1.708091271379236,0.43305508297573075,-0.8316797673371004,False
Procedural pain,70,8,2057,1119,4.759965969859018,2.2821880401843013,9.927874318536077,4.636224729666196,19.889409907870746,0.4534641136036238,-0.006602721266760481,False
Post procedural complication,25,3,2102,1124,4.456073580716777,1.342455282623085,14.791250042953635,4.415452123491616,6.112042210192746,0.4395806494689565,-0.32886136062375915,False
Endotracheal intubation,8,1,2119,1126,4.251061821613969,0.5310063179657808,34.032601872636185,4.238834038551951,1.2869765081543,0.4132477811908572,-0.9204431661619614,False
Skin necrosis,8,1,2119,1126,4.251061821613969,0.5310063179657808,34.032601872636185,4.238834038551951,1.2869765081543,0.4132477811908572,-0.9204431661619614,False
Chylothorax,4,0,2123,1127,4.246820536975977,0.2243121382351447,80.40351634638007,4.240714621532675,0.30710658439441335,0.3870951125562911,-1.4493114417973505,False
Contusion,4,0,2123,1127,4.246820536975977,0.2243121382351447,80.40351634638007,4.240714621532675,0.30710658439441335,0.3870951125562911,-1.4493114417973505,False
Dehydration,4,0,2123,1127,4.246820536975977,0.2243121382351447,80.40351634638007,4.240714621532675,0.30710658439441335,0.3870951125562911,-1.4493114417973505,False
Eye irritation,4,0,2123,1127,4.246820536975977,0.2243121382351447,80.40351634638007,4.240714621532675,0.30710658439441335,0.3870951125562911,-1.4493114417973505,False
Haemoglobin decreased,4,0,2123,1127,4.246820536975977,0.2243121382351447,80.40351634638007,4.240714621532675,0.30710658439441335,0.3870951125562911,-1.4493114417973505,False
Injection site urticaria,4,0,2123,1127,4.246820536975977,0.2243121382351447,80.40351634638007,4.240714621532675,0.30710658439441335,0.3870951125562911,-1.4493114417973505,False
Intensive care,4,0,2123,1127,4.246820536975977,0.2243121382351447,80.40351634638007,4.240714621532675,0.30710658439441335,0.3870951125562911,-1.4493114417973505,False
Necrosis,4,0,2123,1127,4.246820536975977,0.2243121382351447,80.40351634638007,4.240714621532675,0.30710658439441335,0.3870951125562911,-1.4493114417973505,False
Oral pain,4,0,2123,1127,4.246820536975977,0.2243121382351447,80.40351634638007,4.240714621532675,0.30710658439441335,0.3870951125562911,-1.4493114417973505,False
Procedural pneumothorax,4,0,2123,1127,4.246820536975977,0.2243121382351447,80.40351634638007,4.240714621532675,0.30710658439441335,0.3870951125562911,-1.4493114417973505,False
Product storage error,4,0,2123,1127,4.246820536975977,0.2243121382351447,80.40351634638007,4.240714621532675,0.30710658439441335,0.3870951125562911,-1.4493114417973505,False
Rash vesicular,4,0,2123,1127,4.246820536975977,0.2243121382351447,80.40351634638007,4.240714621532675,0.30710658439441335,0.3870951125562911,-1.4493114417973505,False
Wound necrosis,4,0,2123,1127,4.246820536975977,0.2243121382351447,80.40351634638007,4.240714621532675,0.30710658439441335,0.3870951125562911,-1.4493114417973505,False
Arthralgia,7,1,2120,1126,3.7179245283018867,0.45684609802403237,30.25737301453683,3.708979783732957,0.8937965375890418,0.3885427170146225,-1.0267928223837257,False
Myocardial infarction,7,1,2120,1126,3.7179245283018867,0.45684609802403237,30.25737301453683,3.708979783732957,0.8937965375890418,0.3885427170146225,-1.0267928223837257,False
Postoperative wound complication,7,1,2120,1126,3.7179245283018867,0.45684609802403237,30.25737301453683,3.708979783732957,0.8937965375890418,0.3885427170146225,-1.0267928223837257,False
Product administration error,27,4,2100,1123,3.609642857142857,1.2598913825359388,10.341781630330962,3.5765162200282083,5.595507154637475,0.4053911269238321,-0.3301218348293777,False
Death,18,3,2109,1124,3.1977240398293034,0.9399046758321116,10.879229881316963,3.1791255289139637,3.0140912859805056,0.37891429870212684,-0.5157871559991776,False
Discomfort,6,1,2121,1126,3.185289957567185,0.3829955814541749,26.491355527537152,3.1791255289139633,0.5403827509322963,0.35686155063744285,-1.1572768001352385,False
Dysuria,6,1,2121,1126,3.185289957567185,0.3829955814541749,26.491355527537152,3.1791255289139633,0.5403827509322963,0.35686155063744285,-1.1572768001352385,False
Renal failure,6,1,2121,1126,3.185289957567185,0.3829955814541749,26.491355527537152,3.1791255289139633,0.5403827509322963,0.35686155063744285,-1.1572768001352385,False
Abdominal pain upper,3,0,2124,1127,3.1836158192090394,0.1593259709817098,63.61429729169236,3.1805359661495065,0.05707074701715754,0.32840995335986073,-1.7403692536929,False
Administration site irritation,3,0,2124,1127,3.1836158192090394,0.1593259709817098,63.61429729169236,3.1805359661495065,0.05707074701715754,0.32840995335986073,-1.7403692536929,False
