year,exparel_cases,prolonged_block_cases,last_cases,prolonged_block_pct,last_pct
2012,11,1,1,9.090909090909092,9.090909090909092
2013,42,5,15,11.904761904761905,35.714285714285715
2014,52,2,23,3.8461538461538463,44.23076923076923
2015,50,5,12,10.0,24.0
2016,30,2,5,6.666666666666667,16.666666666666668
2017,20,1,6,5.0,30.0
2018,64,12,16,18.75,25.0
2019,437,53,31,12.128146453089245,7.093821510297483
2020,457,52,22,11.37855579868709,4.814004376367615
2021,213,22,24,10.328638497652582,11.267605633802816
2022,258,15,17,5.813953488372093,6.589147286821706
2023,151,15,22,9.933774834437086,14.56953642384106
2024,159,17,19,10.69182389937107,11.949685534591195
2025,183,30,10,16.39344262295082,5.46448087431694
